country_code,year,quarter,hdd_sum,cdd_sum,temp_mean_q
DEU,2024,4,1027.3,0.0,6.833695652173914
FRA,2010,1,1299.9,0.0,3.556666666666667
FRA,2010,2,443.7,43.8,13.605494505494505
FRA,2010,3,113.0,126.0,18.141304347826086
FRA,2010,4,1101.0,0.6999999999999993,6.040217391304348
FRA,2011,1,1068.5,0.0,6.127777777777778
FRA,2011,2,238.2,40.699999999999996,15.82967032967033
FRA,2011,3,94.8,80.99999999999999,17.85
FRA,2011,4,743.9,4.300000000000001,9.960869565217392
FRA,2012,1,1134.1,0.0,5.537362637362637
FRA,2012,2,436.8,24.300000000000004,13.467032967032967
FRA,2012,3,110.3,128.5,18.19782608695652
FRA,2012,4,864.1,0.0,8.607608695652173
FRA,2013,1,1307.9,0.0,3.467777777777778
FRA,2013,2,521.2,18.000000000000004,12.47032967032967
FRA,2013,3,66.2,194.6,19.395652173913046
FRA,2013,4,857.6,2.1999999999999993,8.70217391304348
FRA,2014,1,971.1,0.0,7.21
FRA,2014,2,369.2,20.099999999999998,14.163736263736265
FRA,2014,3,97.5,82.9,17.84130434782609
FRA,2014,4,786.2,0.0,9.454347826086956
FRA,2015,1,1171.4,0.0,4.984444444444445
FRA,2015,2,380.6,38.900000000000006,14.245054945054944
FRA,2015,3,116.7,211.2,19.027173913043477
FRA,2015,4,706.0,0.0,10.326086956521738
FRA,2016,1,1115.6,0.0,5.740659340659341
FRA,2016,2,434.0,15.90000000000001,13.405494505494506
FRA,2016,3,40.0,210.49999999999997,19.85326086956522
FRA,2016,4,966.0,0.0,7.5
FRA,2017,1,1091.9,0.0,5.867777777777778
FRA,2017,2,367.5,103.6,15.1
FRA,2017,3,116.89999999999999,133.8,18.183695652173913
FRA,2017,4,835.1,0.6999999999999993,8.930434782608696
FRA,2018,1,1159.6,0.0,5.115555555555555
FRA,2018,2,279.4,55.5,15.53956043956044
FRA,2018,3,57.99999999999999,257.0,20.16304347826087
FRA,2018,4,812.9,9.8,9.270652173913044
FRA,2019,1,1064.6,0.0,6.171111111111111
FRA,2019,2,424.7,69.7,14.098901098901099
FRA,2019,3,47.5,185.5,19.5
FRA,2019,4,821.6,0.9000000000000021,9.079347826086956
FRA,2020,1,977.8,0.0,7.254945054945056
FRA,2020,2,271.0,49.500000000000014,15.565934065934066
FRA,2020,3,58.900000000000006,245.0,20.02282608695652
FRA,2020,4,814.5,0.0,9.146739130434783
FRA,2021,1,1096.6,0.0,5.815555555555555
FRA,2021,2,482.7,49.300000000000004,13.237362637362637
FRA,2021,3,62.9,91.6,18.31195652173913
FRA,2021,4,905.6,0.0,8.156521739130435
FRA,2022,1,1029.4,0.0,6.562222222222222
FRA,2022,2,316.8,59.900000000000006,15.176923076923076
FRA,2022,3,87.4,254.2,19.81304347826087
FRA,2022,4,752.6,1.1000000000000014,9.831521739130435
FRA,2023,1,1022.1,0.0,6.643333333333333
FRA,2023,2,369.6,90.3,14.930769230769231
FRA,2023,3,42.8,205.1,19.764130434782608
FRA,2023,4,725.0,6.100000000000001,10.185869565217391
FRA,2024,1,983.0,0.0,7.197802197802198
FRA,2024,2,386.6,16.4,13.931868131868132
FRA,2024,3,104.4,151.6,18.51304347826087
FRA,2024,4,813.1,1.1999999999999993,9.175
JPN,2010,1,1093.1,0.0,5.854444444444444
JPN,2010,2,248.20000000000002,142.2,16.835164835164836
JPN,2010,3,3.6999999999999993,732.6,25.922826086956523
JPN,2010,4,572.1,29.39999999999999,12.101086956521739
JPN,2011,1,1210.9,0.0,4.545555555555556
JPN,2011,2,191.8,131.7,17.33956043956044
JPN,2011,3,0.3000000000000007,655.7,25.12391304347826
JPN,2011,4,591.9,22.8,11.81413043478261
JPN,2012,1,1234.0,0.0,4.43956043956044
JPN,2012,2,182.1,85.0,16.932967032967035
JPN,2012,3,0.0,693.4,25.536956521739132
JPN,2012,4,673.3,26.999999999999996,10.975
JPN,2013,1,1124.1,0.0,5.51
JPN,2013,2,185.4,148.7,17.596703296703296
JPN,2013,3,0.8999999999999986,693.7,25.530434782608697
JPN,2013,4,625.9,47.3,11.710869565217392
JPN,2014,1,1178.2,0.0,4.908888888888889
JPN,2014,2,178.0,148.10000000000002,17.67142857142857
JPN,2014,3,0.10000000000000142,585.5,24.36304347826087
JPN,2014,4,630.4,24.300000000000004,11.411956521739132
JPN,2015,1,1114.1,0.0,5.6211111111111105
JPN,2015,2,145.2,147.1,18.020879120879123
JPN,2015,3,0.0,581.8,24.323913043478264
JPN,2015,4,517.0,14.399999999999999,12.536956521739132
JPN,2016,1,1080.6,0.0,6.125274725274725
JPN,2016,2,120.30000000000001,151.6,18.343956043956045
JPN,2016,3,0.0,630.2,24.849999999999998
JPN,2016,4,604.5,43.3,11.9
JPN,2017,1,1118.1,0.0,5.576666666666666
JPN,2017,2,151.0,162.0,18.12087912087912
JPN,2017,3,0.0,644.7,25.007608695652173
JPN,2017,4,715.9,25.700000000000003,10.497826086956522
JPN,2018,1,1124.9,0.0,5.501111111111111
JPN,2018,2,100.8,179.3,18.86263736263736
JPN,2018,3,2.1999999999999993,709.3000000000001,25.68586956521739
JPN,2018,4,561.2,34.1,12.270652173913044
JPN,2019,1,1063.7,0.0,6.181111111111111
JPN,2019,2,188.7,137.7,17.439560439560438
JPN,2019,3,0.0,667.9,25.25978260869565
JPN,2019,4,560.6,51.6,12.467391304347826
JPN,2020,1,986.6,0.0,7.158241758241758
JPN,2020,2,208.7,182.79999999999998,17.715384615384615
JPN,2020,3,0.1999999999999993,693.5,25.535869565217393
JPN,2020,4,609.7,23.799999999999997,11.631521739130434
JPN,2021,1,969.9,0.0,7.223333333333334
JPN,2021,2,133.4,179.4,18.505494505494507
JPN,2021,3,0.0,611.6999999999999,24.64891304347826
JPN,2021,4,634.4,48.5,11.631521739130434
JPN,2022,1,1119.1,0.0,5.565555555555555
JPN,2022,2,159.9,179.89999999999998,18.21978021978022
JPN,2022,3,0.0,736.2,26.002173913043475
JPN,2022,4,606.4,28.599999999999998,11.719565217391304
JPN,2023,1,959.9,0.0,7.334444444444444
JPN,2023,2,119.5,176.8,18.62967032967033
JPN,2023,3,0.0,900.3000000000001,27.785869565217393
JPN,2023,4,506.8,29.200000000000003,12.808695652173913
JPN,2024,1,1022.7,0.0,6.761538461538461
JPN,2024,2,92.3,194.8,19.126373626373628
JPN,2024,3,0.0,894.9,27.72717391304348
JPN,2024,4,528.4,74.4,13.065217391304348
GBR,2010,1,1306.4,0.0,3.4844444444444447
GBR,2010,2,560.1,17.3,12.035164835164835
GBR,2010,3,194.4,31.300000000000008,16.22717391304348
GBR,2010,4,1155.1,0.0,5.444565217391305
GBR,2011,1,1102.4,0.0,5.751111111111111
GBR,2011,2,417.1,6.5,13.48791208791209
GBR,2011,3,206.5,9.700000000000003,15.860869565217392
GBR,2011,4,761.6,0.6000000000000014,9.728260869565217
GBR,2012,1,1119.3,0.0,5.7
GBR,2012,2,593.9,3.1000000000000014,11.507692307692308
GBR,2012,3,234.4,24.6,15.719565217391304
GBR,2012,4,972.4,0.0,7.430434782608696
GBR,2013,1,1348.1,0.0,3.021111111111111
GBR,2013,2,651.4,1.3999999999999986,10.857142857142858
GBR,2013,3,153.6,67.7,17.066304347826087
GBR,2013,4,871.6,0.0,8.52608695652174
GBR,2014,1,1014.0,0.0,6.733333333333333
GBR,2014,2,451.0,2.599999999999998,13.072527472527472
GBR,2014,3,151.79999999999998,45.0,16.83913043478261
GBR,2014,4,818.3,0.0,9.105434782608697
GBR,2015,1,1175.7,0.0,4.9366666666666665
GBR,2015,2,538.6,2.099999999999998,12.104395604395604
GBR,2015,3,217.9,24.299999999999997,15.895652173913044
GBR,2015,4,675.5,0.0,10.657608695652174
GBR,2016,1,1145.9,0.0,5.407692307692308
GBR,2016,2,541.6,1.4000000000000021,12.063736263736264
GBR,2016,3,88.6,69.6,17.793478260869566
GBR,2016,4,921.8,0.0,7.980434782608696
GBR,2017,1,1063.2,0.0,6.1866666666666665
GBR,2017,2,422.1,29.1,13.68131868131868
GBR,2017,3,190.1,29.2,16.25108695652174
GBR,2017,4,874.8,0.0,8.491304347826087
GBR,2018,1,1190.7,0.0,4.7700000000000005
GBR,2018,2,386.7,13.400000000000006,13.897802197802198
GBR,2018,3,140.0,138.5,17.983695652173914
GBR,2018,4,827.9,2.6999999999999993,9.030434782608696
GBR,2019,1,1058.7,0.0,6.236666666666666
GBR,2019,2,522.9,12.099999999999998,12.386813186813187
GBR,2019,3,113.89999999999999,68.4,17.505434782608695
GBR,2019,4,906.8,0.0,8.143478260869566
GBR,2020,1,1013.0,0.0,6.868131868131868
GBR,2020,2,417.4,16.8,13.5978021978022
GBR,2020,3,143.1,84.2,17.35978260869565
GBR,2020,4,853.5,0.0,8.722826086956522
GBR,2021,1,1140.6,0.0,5.326666666666666
GBR,2021,2,610.0,14.000000000000004,11.45054945054945
GBR,2021,3,124.1,35.5,17.036956521739132
GBR,2021,4,819.3,0.0,9.094565217391304
GBR,2022,1,1031.0,0.0,6.544444444444444
GBR,2022,2,434.8,9.599999999999994,13.327472527472526
GBR,2022,3,105.0,154.1,18.53369565217391
GBR,2022,4,806.1,0.0,9.238043478260868
GBR,2023,1,1066.3,0.0,6.152222222222223
GBR,2023,2,477.3,37.099999999999994,13.162637362637362
GBR,2023,3,95.00000000000001,61.6,17.63695652173913
GBR,2023,4,779.9,0.10000000000000142,9.523913043478261
GBR,2024,1,976.1,0.0,7.2736263736263735
GBR,2024,2,446.6,10.299999999999997,13.205494505494507
GBR,2024,3,146.1,59.89999999999999,17.06304347826087
GBR,2024,4,797.6,0.0,9.330434782608695
CAN,2010,1,1928.9,0.0,-3.432222222222222
CAN,2010,2,423.0,58.0,13.989010989010989
CAN,2010,3,100.1,245.3,19.578260869565216
CAN,2010,4,1493.2,0.0,1.7695652173913046
CAN,2011,1,2260.6,0.0,-7.117777777777778
CAN,2011,2,558.1,48.5,12.4
CAN,2011,3,50.5,239.20000000000002,20.05108695652174
CAN,2011,4,1273.0,0.0,4.163043478260869
CAN,2012,1,1952.2,0.0,-3.4527472527472525
CAN,2012,2,505.5,85.0,13.37912087912088
CAN,2012,3,97.6,256.4,19.726086956521737
CAN,2012,4,1423.9,0.0,2.5228260869565218
CAN,2013,1,2158.4,0.0,-5.982222222222222
CAN,2013,2,585.3,39.0,11.996703296703297
CAN,2013,3,115.10000000000001,174.9,18.65
CAN,2013,4,1583.4,0.0,0.7891304347826086
CAN,2014,1,2440.6,0.0,-9.117777777777778
CAN,2014,2,572.9,50.2,12.256043956043955
CAN,2014,3,113.1,139.5,18.286956521739132
CAN,2014,4,1381.8,1.3000000000000007,2.994565217391304
CAN,2015,1,2600.1,0.0,-10.89
CAN,2015,2,517.1,31.6,12.664835164835164
CAN,2015,3,47.800000000000004,219.29999999999998,19.86413043478261
CAN,2015,4,1231.7,0.0,4.61195652173913
CAN,2016,1,2128.6,0.0,-5.391208791208792
CAN,2016,2,634.7,91.5,12.03076923076923
CAN,2016,3,49.2,282.1,20.531521739130437
CAN,2016,4,1372.1,0.0,3.085869565217391
CAN,2017,1,2096.2,0.0,-5.291111111111111
CAN,2017,2,592.9,39.400000000000006,11.917582417582418
CAN,2017,3,75.5,148.60000000000002,18.794565217391302
CAN,2017,4,1484.3,2.0,1.8880434782608697
CAN,2018,1,2127.7,0.0,-5.641111111111111
CAN,2018,2,637.5,37.300000000000004,11.404395604395605
CAN,2018,3,72.69999999999999,315.5,20.639130434782608
CAN,2018,4,1595.8,2.6000000000000014,0.682608695652174
CAN,2019,1,2335.7,0.0,-7.952222222222223
CAN,2019,2,704.3,21.100000000000005,10.492307692307692
CAN,2019,3,76.0,220.9,19.575
CAN,2019,4,1502.9,0.0,1.6641304347826087
CAN,2020,1,2028.6,0.0,-4.292307692307692
CAN,2020,2,657.7,97.1,11.83956043956044
CAN,2020,3,110.69999999999999,256.6,19.585869565217394
